x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,class
34,44,66,58,48,22,52,43,67.0,31.0,70.0,75.0,,,,,,,,,,,,,,,A
57,29,61,41,75,64,45,37,38.0,17.0,45.0,22.0,31.0,35.0,69.0,23.0,34.0,55.0,,,,,,,,,A
21,60,25,23,83,55,84,33,,,,,,,,,,,,,,,,,,,C
31,25,68,37,18,61,68,50,57.0,64.0,46.0,67.0,,,,,,,,,,,,,,,C
30,49,51,28,54,71,71,50,39.0,45.0,39.0,53.0,47.0,46.0,47.0,54.0,47.0,67.0,41.0,27.0,,,,,,,E
20,55,64,69,60,32,40,59,48.0,59.0,48.0,65.0,39.0,51.0,67.0,53.0,41.0,70.0,46.0,40.0,48.0,51.0,,,,,E
24,35,22,82,69,67,42,62,27.0,62.0,42.0,48.0,28.0,47.0,59.0,42.0,26.0,70.0,50.0,46.0,58.0,35.0,,,,,G
15,33,14,76,63,74,18,65,42.0,72.0,20.0,43.0,38.0,41.0,56.0,38.0,45.0,52.0,37.0,50.0,,,,,,,G
55,54,50,45,55,14,47,21,53.0,39.0,45.0,53.0,76.0,61.0,76.0,15.0,,,,,,,,,,,I
40,31,38,58,34,32,36,66,42.0,67.0,48.0,34.0,68.0,65.0,67.0,43.0,,,,,,,,,,,I
65,74,33,33,47,68,42,37,58.0,36.0,25.0,32.0,36.0,63.0,,,,,,,,,,,,,K
61,69,58,39,33,45,33,58,43.0,43.0,41.0,36.0,45.0,59.0,,,,,,,,,,,,,K
35,33,36,67,51,42,40,60,64.0,54.0,40.0,49.0,,,,,,,,,,,,,,,M
26,25,77,57,54,37,29,52,28.0,60.0,24.0,78.0,68.0,36.0,67.0,53.0,,,,,,,,,,,M
22,29,67,71,42,37,63,37,63.0,60.0,50.0,37.0,22.0,68.0,31.0,67.0,71.0,33.0,26.0,39.0,26.0,59.0,51.0,64.0,47.0,52.0,O
24,65,47,41,57,58,60,34,38.0,41.0,56.0,41.0,28.0,43.0,50.0,58.0,,,,,,,,,,,O
74,38,21,63,48,55,23,48,40.0,37.0,27.0,36.0,69.0,47.0,,,,,,,,,,,,,Q
14,65,22,51,84,49,51,57,42.0,58.0,41.0,36.0,75.0,57.0,26.0,38.0,26.0,31.0,,,,,,,,,Q
15,27,15,82,19,37,19,67,19.0,75.0,19.0,54.0,41.0,25.0,51.0,51.0,97.0,75.0,19.0,45.0,34.0,28.0,,,,,S
24,30,24,82,42,31,28,43,28.0,66.0,28.0,74.0,28.0,57.0,43.0,52.0,78.0,70.0,,,,,,,,,S
